epoch,train_loss,val_loss
1,0.583183,0.740555
2,0.367102,1.039248
3,0.307217,1.274889
4,0.233329,1.005465
5,0.193838,0.764326
6,0.165962,0.365443
7,0.130014,0.243455
8,0.098953,0.209418
9,0.080004,0.219264
10,0.062320,0.210521
11,0.054468,0.272011
12,0.050426,0.192626
13,0.031055,0.209349
14,0.028034,0.194374
15,0.021798,0.207797
16,0.014630,0.196639
17,0.016601,0.195793
18,0.013915,0.217979
19,0.012786,0.232792
20,0.009262,0.208139
